City Name,Brand/Store Name,No. of Outlets,Full Address,Latitude,Longitude,Pincode,Area,Timing,isMall,MallName
,,,"Shop No. 225, 2nd Floor, Infiniti Mall, New Link Rd, Mindspace, Malad West, Mumbai, Maharashtra 400064",19.1848469,72.8345642,400064,Malad West,,TRUE,Infiniti Mall
,,,"Service Rd, Subhash Nagar, Thane West, Mumbai, Maharashtra 400606",19.2100354,72.9882368,400606,Thane West,,,
,,,"Shop.103 Big Mall, Ghodbunder Rd, Kasarvadavali, Thane West, Mumbai, Maharashtra 400615",19.2680252,72.9649103,400615,Thane West,,TRUE,Big Mall
,,,"Lal Bahadur Shastri Rd, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086",19.0991894,72.9173925,400086,Ghatkopar West,,FALSE,
,,,"Ground Floor, Nawaz Mension, 25, Shahid Bhagat Singh Rd, Colaba, Mumbai, Maharashtra 400039",18.9234801,72.8318773,400039,Colaba,,FALSE,
,,,"HSP Parel Kids, Unit No - F-11B, Phoenix Mall Skyzone, Senapati Bapat Marg, Lower Parel West, Mumbai, Maharashtra 400013",18.9949809,72.8255004,400013,Lower Parel West,,FALSE,
,,,,,,,,,,
,Allen Solly,12,"Phoenix High Street, Senapati Bapat Marg, Mumbai - 400020",18.994744,72.8245993,400020,,,FALSE,
,,,"Shop No. F11, First Floor, Sky Zone Phoenix, Lower Parel, Mumbai - 400013",18.9948509,72.8252115,400013,Lower Parel,,FALSE,
,,,"Atria Mall, Worli, Mumbai - 400020",18.9910033,72.8143227,400020,Worli,,TRUE,Atria Mall
,,,"Shop No. G2, Grand Galleria, Phoenix High Street, Senapati Bapat Marg, Lower Parel, Mumbai - 400013",18.9950507,72.8241397,400013,Lower Parel,,FALSE,
,,,"Unit No. 7, Ramdas Sutrale Marg, Chandavarkar Road, Borivali, Mumbai - 400092",19.2323097,72.8535872,400092,Borivali,,FALSE,
,,,"F-13, First Floor, Oberoi Mall, Western Express Highway, Goregaon East, Mumbai - 400063",19.173725,72.8605168,400063,Goregaon East,,TRUE,Oberoi
,,,"Shop No. 15, Satara Park, Shimpoli Road, Near Gokhale School, Borivali West, Mumbai - 400092",19.2240288,72.8481451,400092,Borivali West,,FALSE,
,,,"S-Mart, Shop No-21/25, Wing A, Kasturi Plaza, Manpada Road, Dombivali- East, Mumbai - 421201",19.2150952,73.0904049,421201,Dombivali East,,FALSE,
,,,"GF 38 Viviana City Mall, Voltas Compound, Pokhran Road No. 2, Subhash Nagar, Mumbai - 400610",19.2196425,72.9597356,400610,,,TRUE,Viviana City Mall
,,,"Shreeji Collection, Lucky Palace, Near State Bank Of India Navghar, Vasai Road West, Mumbai - 401202",19.3822755,72.8328129,401202,,,FALSE,
,,,"Shop No. G4, Pheonix Market City Mall, L B S Marg, Kamani, Kurla, Mumbai - 400070",19.0863795,72.8889774,400070,Kurla,,TRUE,Market City Mall
,,,"G6, Ground Floor, Inorbit Mall, Sector 30A, Vashi, Mumbai - 400705",19.0657994,73.0009493,400705,Vashi,,TRUE,Inorbit Mall
,,,,,,,,,,
,American Eagle,1,"Phoenix Marketcity Mall, Lal Bahadur Shastri Road, Kurla West, Kamani, Mumbai, Maharashtra - 400070",19.0863795,72.8889774,400070,,,TRUE,Phoenix Marketcity Mall
,,,,,,,,,,
,AND,11,"Plot No 172, Bajaj Niwas, Linking Rd, Khar, Khar West, Mumbai, Maharashtra 400052",19.0687044,72.8337366,400052,,,FALSE,
,,,"Shop No. S-3, Second Floor, Oberoi Mall, Goregaon, Mumbai, Maharashtra 400063",19.1741226,72.8607225,400063,,,TRUE,Oberoi Mall
,,,"Shop No G - 14 & 15, Inorbit Rd, Malad, Mindspace, Malad West, Mumbai, Maharashtra 400064",19.171952,72.8356615,400064,,,FALSE,
,,,"FF- 51, First Floor, Phoenix Market City Mall, L.B.S., Lal Bahadur Shastri Marg, Kurla West, Mumbai, Maharashtra 400070",19.0862457,72.8892739,400070,,,TRUE,Phoenix Market City Mall
,,,"Ground Floor, Infiniti Mall,, New Link Rd, Andheri West, Mumbai, Maharashtra 400053",19.1412127,72.8309064,400053,,,TRUE,Infiniti Mall
,,,"Infiniti Mall - Malad,, Ground floor, Link Road, Malad-(W), Mumbai, Maharashtra 400064",19.1848469,72.8345642,400064,,,TRUE,Infiniti Mall - Malad
,,,"Akurli Rd, Kandivali, Akurli Industry Estate, Kandivali East, Mumbai, Maharashtra 400101",19.2015267,72.8590461,400101,,,FALSE,
,,,"No.29, Satra Park, Shimpoli Road, Borivali West, Mumbai, Maharashtra 400092",19.2237752,72.8484955,400092,,,FALSE,
,,,"Extension of Entry Rd to Phoenix, Lower Parel, Mumbai, Maharashtra 400013",18.993734,72.8243796,400013,,,FALSE,
,,,"Ground Floor, Inorbit Mall, Sector No.30A, Vashi, Navi Mumbai, Maharashtra 400705",19.0657994,73.0009493,400705,Navi Mumbai,,TRUE,Inorbit Mall
,,,,,,,,,,
,Anita Dongre,2,"Ground Floor, Everest Classic Building, Linking Rd, Khar West, Mumbai, Maharashtra 400052",19.0731595,72.8338741,400052,,,FALSE,
,,,"Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra 400013",18.9999654,72.828525,400013,,,FALSE,
,,,,,,,,,,
,Arrow,13,"Shop No. 1 & 4, SaiLeela Commercial Bldg., S. V. Road, Borivali (West), Mumbai - 400092",19.2260079,72.8551191,400092,Borivali (West),,FALSE,
,,,"Sea Castle, 29, Dr NA PurandareMarg, Chowpatty, Mumbai - 400007",18.9560903,72.8126854,400007,Chowpatty,,FALSE,
,,,"Shop No. 19, Cusrow Baugh, Colaba, Mumbai - 400001",18.9198007,72.829618,400001,Colaba,,FALSE,
,,,"S- Mart, Shop No. 9, Kasturi Plaza, Manpada Road, Dombivali East, Mumbai - 421201",19.2151163,73.0905281,421201,Dombivali East,,FALSE,
,,,"F-03, First Floor, Oberoi Mall Pvt. Ltd., International Business Park, Oberoi Garden City, Off Western Express Highway, Goregaon (East), Mumbai - 400063",19.173725,72.8605168,400063,Goregaon (East),,TRUE,Oberoi Mall Pvt. Ltd.
,,,"G 16, Growels 101 mall, Akurli Road, Kandivli (East), Mumbai - 400101",19.2033444,72.8595734,400101,Kandivli (East),,TRUE,
,,,"117 First Floor - Infiniti Mall, Infiniti Malad, Link Road, Malad West, Mumbai - 400064",19.1848469,72.8345642,400064,Malad West,,TRUE,117 First Floor - Infiniti Mall
,,,"Mindspace, F -44, Inorbit Mall, Link Road, Malad West, Mumbai - 400064",19.1729281,72.8359056,400064,Malad West,,TRUE,Inorbit Mall
,,,"Shop No : 2&3, Anand Villa Co-Operating Housing Society, Plot No - 65-Z, Next to Arya Samaj, Linking Road, Santacruz (West), Mumbai - 400054",19.0791537,72.8342338,400054,Santacruz (West),,FALSE,
,,,"F-25, 1st Floor, Korum Mall, Pondey Road, Eastern Express Highway, Thane West - 400609",19.2028031,72.9653798,400609,Eastern Express Highway,,TRUE,Korum Mall
,,,"Shop No. 2, Maruti Bhavan, Ram Maruti Road, Thane, Mumbai - 400602",19.1898022,72.9723381,400602,Thane,,FALSE,
,,,"Centre One Shopping Mall, Plot No. 33, Sector 30 A, Vashi, Navi Mumbai - 400705",19.0671636,72.9985555,400705,Vashi,,TRUE,Centre One Shopping Mall
,,,"Shop No. 6, First Floor, No 30/A, Inorbit Mall, Vashi, Navi Mumbai - 400705",19.0657994,73.0009493,400705,Vashi,,TRUE,Inorbit Mall
,,,,,,,,,,
,BATA,12,"250, Bandra Linking Road, Kanaiya Building, Bandra, 400050",19.0627702,72.8350928,400050,Bandra,,FALSE,
,,,"51, Hill Road, Bandra (West), 400050",19.0559327,72.8345131,400050,Bandra (West),,FALSE,
,,,"17 And 18, Mirza Ghalib Marg, Byculla Bridge, Byculla, 400008",18.970656,72.8317165,400008,Byculla,,FALSE,
,,,"Plot 1a, Chemburkar Marg, Chembur, 400071",19.051177,72.894363,400071,Chembur,,FALSE,
,,,"Bismilla Building, Opposite Railway Station, Dadar, 400028",19.019678,72.841993,400028,Dadar,,FALSE,
,,,"Shop G-19b, R City Mall, Ghatkoper, 400086",19.0996854,72.9163939,400086,Ghatkoper,,TRUE,R City Mall
,,,"Ground Floor, Metro Junction Mall, Netivalli, Kalyan, 421336",19.2296376,73.1234003,421336,Kalyan,,TRUE,Metro Junction Mall
,,,"Sahakar Building, Station Road, Kurla (West), 400070",19.0662431,72.8788669,400070,Kurla (West),,FALSE,
,,,"P-314, Victoria Church, L J Road, Opposite Victoria Church, Mahim, 400016",19.0345513,72.8421586,400016,Mahim,,FALSE,
,,,"354, Matunga Mansion, 400019",19.0277101,72.8528684,400019,Matunga Mansion,,FALSE,
,,,"Shop 3 And 4, Santoshi Mata Chc Ltd, Mumbai Central, 400008",18.967126,72.819775,400008,Mumbai Central,,FALSE,
,,,"Jahangir Building, Dr Mascarenhas Road, Mazgaon, 400010",18.9711328,72.8407069,400010,Mazgaon,,FALSE,
,,,,,,,,,,
,Biba,9,"Shop 10, Ground Floor, Link Road, Infinity Mall, Andheri (West), 400001",19.1412127,72.8309064,400001,Andheri (West),,TRUE,Infinity Mall
,,,"G-31, Runwal City, R Mall, Lbs Marg, Ghatkopar (West), 400086",19.1840208,72.9513545,400086,Ghatkopar (West),,TRUE,R Mall
,,,"Shop S-28, 2nd Floor, Western Eastern Highway, Oberai Mall, Goregaon (East), 400067",19.173725,72.8605168,400067,Goregaon (East),,TRUE,Oberai Mall
,,,"Biba Apparels Private Limited, Western Express Highway, Nirlon Compound, Goregaon (East), 400069",19.15242,72.8565793,400069,Goregaon (East),,FALSE,
,,,"Shop 110, Behind Poiser Bus Depot, Raghuleela Mall, Kandivali, 400067",19.2133712,72.8491592,400067,Kandivali,,TRUE,Raghuleela Mall
,,,"Shop 12-13, Lbs Marg, Huma Adlabs, Kanjurmarg",19.1197659,72.9256229,urmarg,Huma Adlabs,,FALSE,
,,,"356, Ram Janaki, Linking Road, Khar (West), 400052",19.0698035,72.8334973,400052,Khar (West),,FALSE,
,,,"Phoenix Mill Compound, Phoenix Galleria, Lower Parel, 400018",18.9893218,72.8253312,400018,Lower Parel,,FALSE,
,,,"Unit Ff/13, 1near Goregaon Sports Club, Biba Store, Infiniti Malad, Malad Link Road, 400061",19.1822783,72.8350283,400061,Malad Link Road,,FALSE,
,,,,,,,,,,
,Calvin Klein,6,"2nd Floor,Shop No. S-6, Palladium Mall,High Street Phoenix, 462, Senapati Bapat Marg, Mumbai, Maharashtra 400013",18.994744,72.8245993,400013,,,TRUE,Palladium Mall
,,,"G24,Infiniti Mall, Mindspace, Malad West, Mumbai, Maharashtra 400064",19.1848469,72.8345642,400064,,,TRUE,Infiniti Mall
,,,"Palm Lands, Dr Ambedkar Rd, Khar West, Mumbai, Maharashtra 400050",19.0618426,72.8296914,400050,,,FALSE,
,,,"Unit UG - 23, Unit UG, 23, Lal Bahadur Shastri Rd, Kamani, Kurla West, Kurla, Mumbai, Maharashtra 400070",19.0869923,72.8897252,400070,,,FALSE,
,,,"SHOP NO. 8, H Kantilal Compound, Andheri - Kurla Rd, OPP MCDONALS, Sag Baug, Marol, Saki Naka, Mumbai, Maharashtra 400072",19.1063234,72.8851756,400072,,,FALSE,
,,,"Ground Floor -01, Oberoi Mall, Western Express Hwy, Goregaon, Mumbai, Maharashtra 400063",19.173725,72.8605168,400063,,,TRUE,Oberoi Mall
,,,,,,,,,,
